"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Barcelona";38;28;9;1;99;29;93;90.49;41.62;79.44
2;"Atletico Madrid";38;23;10;5;58;22;79;50.29;35.48;61.6
3;"Real Madrid";38;22;10;6;94;44;76;91.29;45.1;79.99
4;"Valencia";38;22;7;9;65;38;73;57.76;47.89;58.23
5;"Villarreal";38;18;7;13;57;50;61;55.67;54.24;54.96
6;"Real Betis";38;18;6;14;60;61;60;46.72;49.76;50.51
7;"Sevilla";38;17;7;14;49;58;58;61.49;54.03;58.61
8;"Getafe";38;15;10;13;42;33;55;49.03;39.65;57.53
9;"Eibar";38;14;9;15;44;50;51;41.42;45.53;50.79
10;"Girona";38;14;9;15;50;59;51;52.1;51.6;53.03
11;"Real Sociedad";38;14;7;17;66;59;49;56.35;51.13;55.84
12;"Celta Vigo";38;13;10;15;59;60;49;54.59;57.68;48.83
13;"Espanyol";38;12;13;13;36;42;49;41.58;53.37;44.68
14;"Alaves";38;15;2;21;40;50;47;37.88;58.2;39.03
15;"Levante";38;11;13;14;44;58;46;44.2;65.12;41.82
16;"Athletic Club";38;10;13;15;41;49;43;51.79;50.71;54.13
17;"Leganes";38;12;7;19;34;51;43;39.26;48.77;44.58
18;"Deportivo La Coruna";38;6;11;21;38;76;29;49.78;60.87;49.16
19;"Las Palmas";38;5;7;26;24;74;22;37.88;74.43;31.05
20;"Malaga";38;5;5;28;24;61;20;35.88;60.24;35.83
